,GalaxyName,RA_deg,Dec_deg,Distance_pc,rh(arcmins),Nstar_rh,pmra_rh,pmdec_rh,Nstar_2rh,pmra_2rh,pmdec_2rh,Nbg_per_deg2,rh_deg,Nstar_per_rhdeg3
0,Antlia2,143.8868,-36.7673,132000.0,76.2,116512,-4.818529301725212,2.4017648791435646,460159,-4.858202815686243,2.4336587569639287,22606.53428759814,1.27,56879.98777572357
1,Aquarius2,338.4813,-9.3274,107900.0,5.1,81,2.0856726522233626,-6.699704631240393,288,3.384034743017077,-6.609563926957766,3039.914483969766,0.08499999999999999,131894.97252188076
2,Bootes(I),210.025,14.5,66374.30704019089,12.6,459,-6.039801045157512,-5.199918606460433,1494,-6.46294639965598,-6.390014364906859,2490.1793817099274,0.21,49562.68221574345
3,Bootes3,209.25,26.8,46000.0,90.0,13807,-7.528199441202586,-6.608044852021403,60218,-7.310066337234213,-6.212074481532514,2188.604463359394,1.5,4090.962962962963
4,BootesII,209.5,12.85,41686.93834703355,4.2,61,-11.699557759011935,-7.644268386523791,192,-9.864402447405261,-9.103472359847817,2836.6391217739165,0.07,177842.5655976676
5,CanesVenatici(I),202.0145833333333,33.55583333333333,217770.97723531595,8.9,207,-3.595353458783151,-5.486002960563624,608,-4.404447848468046,-5.98073615497897,1933.7295446489086,0.14833333333333334,63424.06545536043
6,CanesVenaticiII,194.29166666666663,34.32083333333334,159955.8028614668,1.6,21,-2.0389518398193296,-0.17574812385046423,30,-2.522364283513888,-3.4153172263837512,1342.8698323378667,0.02666666666666667,1107421.8749999998
7,Carina,100.40291666666668,-50.966111111111104,105196.18738232234,8.2,1263,0.39858519162658224,1.6943397779091631,3288,0.31382846941345216,2.2893012792837495,11503.465547689046,0.13666666666666666,494783.88299647433
8,Carina2,114.1066,-57.9991,36200.0,8.69,614,-2.06426303806643,5.20933473006648,2617,-1.889930943668935,5.257359478787045,10131.477160914817,0.14483333333333331,202098.36170114513
9,Carina3,114.6298,-57.8997,27800.0,3.75,132,-1.3722646794118452,3.6597071644616004,535,-1.5925746173485313,5.004971953672583,10946.464779269772,0.0625,540672.0
10,Cetus3,31.331,-4.27,251000.0,1.23,2,16.51848156111567,0.5425009082078001,7,4.861058699074898,-8.270167100456788,1262.3830505008555,0.0205,232149.85272993712
11,CetusII,19.47,-17.42,29922.646366081888,1.9,11,0.24380536489294702,-4.465661113578524,28,4.3628850218128825,-5.227128352281199,1798.7594676313938,0.03166666666666666,346406.1816591341
12,ColumbaI,82.86,-28.03,181970.08586099825,1.9,19,1.453295948474253,-1.0718678683448701,59,2.277333788373159,-0.19056354037234818,4232.375217956221,0.03166666666666666,598337.9501385044
13,ComaBerenices,186.7458333333333,23.904166666666665,43651.58322401656,6.0,66,-4.81390656480592,-4.84125728568213,234,-6.355213320476147,-5.445199260076145,1782.5353626292276,0.1,65999.99999999999
14,Crater2,177.31,-18.413,117500.0,31.2,4129,-7.009059289533056,-2.797886206171864,14882,-7.2944204453213635,-3.038979915768445,4219.411003617234,0.52,29365.327719617657
15,Draco,260.0516666666666,57.915277777777774,75857.75750291836,10.0,988,-0.7470479604551794,-0.8239078315063522,2263,-1.2445035995641083,-1.2207460697455714,4870.141258611998,0.16666666666666666,213408.00000000006
16,DracoII,238.1983333333333,64.56527777777778,23988.329190194898,2.7,23,1.0529734104128254,-3.3989889853125126,58,-1.3589039357267572,-1.7585494710145226,1833.884117931304,0.045000000000000005,252400.5486968449
17,Eridanus2,56.08791666666667,-43.53333333333333,380189.39632056135,1.53,9,0.6935367262521015,-2.1399254583334417,33,3.8792161821384252,-2.5372066713478656,3916.1539245987315,0.025500000000000002,542777.6646990975
18,Eridanus3,35.689583333333346,-52.28361111111111,87096.35899560798,0.54,3,15.555583963072154,-1.4050981797349988,5,10.026216247170975,-1.02956304991675,2619.834454187577,0.009000000000000001,4115226.3374485583
19,Fornax,39.99708333333333,-34.44916666666666,147231.25024327193,16.6,14912,0.6031568529391773,-0.5347649607663625,25766,0.9003956903686614,-0.6183856595388068,15045.44420658527,0.27666666666666667,704150.3217107069
20,Grus1,344.17666666666673,-50.16333333333333,120226.4434617413,1.77,11,11.791456781061056,-5.669603792742468,37,4.353177595036976,-5.999343302605119,3169.9921634697143,0.029500000000000002,428476.13436622045
21,GrusII,331.0200000000001,-46.44,52966.34438916581,6.0,115,4.040235198623598,-8.673087107741177,427,4.127110063619063,-7.91518985960425,3310.422816311422,0.1,114999.99999999997
22,Hercules,247.75833333333333,12.791666666666664,131825.67385564075,8.6,562,-3.8084546516272417,-4.8306019520727235,2072,-3.7219831104060703,-5.079077903628246,7798.506135276212,0.14333333333333334,190851.1200271674
23,Horologium1,43.88208333333333,-54.11888888888889,79432.82347242821,1.31,7,5.8156918913620865,0.16153111499052988,18,7.321545524455189,-0.12750720637943025,2448.394905673351,0.021833333333333333,672570.6388220049
24,HorologiumII,49.13375,-50.01805555555556,77983.01105232594,2.09,12,3.3860358657096037,-5.078660486667109,32,5.791953339874326,-2.563371064543218,1748.915379320752,0.034833333333333334,283920.0997137906
25,HydraI,133.9,3.6,12700.0,51.6,10781,-3.4513744171404066,-3.6637295712245135,42424,-3.399758000264451,-3.604119141486464,4539.516733600906,0.86,16949.765429459043
26,HydraII,185.42541666666665,-31.98527777777777,134276.49611378642,1.7,30,-6.943877491678578,0.20350449363847534,88,-6.565907919654618,-1.0427516255164435,7665.871307402019,0.028333333333333332,1318949.7252188076
27,Indus1,317.20458333333335,-51.165555555555564,100000.0,1.26,8,-0.35421662489837313,-3.07975625121229,29,3.2905562406286326,-6.790764732907337,5052.537875933185,0.021,863837.5985314759
28,IndusI?,309.72,-46.16,213796.20895022328,2.9,59,4.103356518058871,-6.197825657374114,209,2.095291729656257,-7.455523198865323,6812.815637703012,0.04833333333333333,522530.64906310226
29,LeoI,152.1170833333333,12.306388888888891,253512.8630497907,3.4,1006,-0.45732274510512577,-0.05391182908334612,1663,-0.6140876423515172,-0.4646985755824419,21708.954521392785,0.056666666666666664,5528597.598208834
30,LeoII,168.36999999999995,22.151666666666664,233345.80622810047,2.6,258,-0.27967712792607485,-0.17153073925556941,460,-0.8629361682641776,-0.5985889269724232,11413.952131797463,0.043333333333333335,3170687.3008648157
31,LeoIV,173.23749999999995,-0.5333333333333333,154170.04529495616,4.6,57,-4.9314558322820155,-4.404584570250179,175,-6.262111742692805,-5.364644933527946,2130.0888413811326,0.07666666666666666,126489.68521410375
32,LeoT,143.7225,17.05138888888889,416869.38347033545,0.99,6,-2.3817069772905497,-2.3894412107134766,21,-1.2322507704642054,-5.690946989537494,5845.911591988809,0.0165,1335670.7571583602
33,LeoV,172.79000000000005,2.22,177827.94100389228,2.6,14,-1.3679826456585311,-4.746397131996823,57,-5.628162841736721,-4.445215989460957,2429.7026815212425,0.043333333333333335,172052.79927173417
34,Pegasus3,336.09416666666664,5.42,205116.21788255626,1.3,7,9.235668832290273,2.275212181097385,27,2.382328594761056,-4.597580747703668,4520.3770818999865,0.021666666666666667,688211.1970869367
35,Phoenix,27.77625,-44.444722222222225,414954.0426343633,3.76,240,0.9844615219336489,-0.10109612805085168,343,2.3561720330371916,-0.660408072642761,2782.869930703693,0.06266666666666666,975217.4373693693
36,Phoenix2,354.9975,-54.40611111111111,83176.37711026709,1.09,8,9.576450816562598,-9.484236715258676,21,7.182361010520799,-6.259021094730111,4179.474980613697,0.018166666666666668,1334333.0535455188
37,Pictoris1,70.9475,-50.28305555555556,114815.3621496884,0.88,3,1.4246357592286838,1.6801687403793704,11,3.295772750183487,3.4399884153389553,3945.990324592447,0.014666666666666666,950882.7948910594
38,PiscesII,344.62916666666666,5.9525000000000015,181970.08586099825,1.1,4,-2.25049111489341,-11.133855730770174,15,-1.8363626157804043,-11.565891508888711,3472.471485641353,0.018333333333333333,649135.9879789632
39,Reticulum2,53.92541666666666,-54.04916666666666,30199.517204020132,3.64,43,5.868191619854392,-0.49032698246698203,121,5.308502524694862,-0.4840644288075251,2248.6569667614726,0.06066666666666667,192583.04791452963
40,ReticulumIII,56.36,-60.45,91622.04901219992,2.4,11,4.2896281714901745,3.9528506060312134,42,5.814543878724321,-3.268421046489021,2055.751348270315,0.04,171874.99999999997
41,SagittariusII,298.16875,-22.06805555555556,66988.46094165258,2.0,144,-1.2858844375931908,-4.503148474006659,435,-0.647322777165916,-5.075074841612531,27788.45306384493,0.03333333333333333,3888000.0
42,Sculptor,15.039166666666668,-33.70916666666667,85901.3521505396,11.3,3975,0.3519835958567283,-0.4163365002099737,6561,0.9284772040707574,-0.8686136805950807,7735.760347760506,0.18833333333333335,595052.8693316292
43,Segue(I),151.76666666666668,16.081944444444446,22908.676527677748,4.4,52,-5.200770840309932,-5.829636495190076,168,-5.4824736044992495,-6.53446174903987,2288.6743882636188,0.07333333333333333,131855.7475582269
44,SegueII,34.81666666666666,20.175277777777783,34673.685045253165,3.4,43,1.3649484976510156,-2.7028349781883976,134,3.280231466775622,-4.529003297180178,3006.8719352309645,0.056666666666666664,236311.8257683697
45,Sextans(I),153.2625,-1.6147222222222224,85901.3521505396,27.8,3060,-4.3592208267136225,-3.059071587634002,9319,-5.286813563199655,-3.9452006520620664,3093.4758723011428,0.4633333333333333,30763.857419835058
46,TriangulumII,33.322500000000005,36.17833333333333,30199.517204020132,3.9,91,2.217667805126763,-2.8871860133218097,299,2.815326021684934,-3.312936344489192,5223.546850195538,0.065,331360.9467455621
47,Tucana2,342.9795833333334,-58.56888888888889,57543.99373371567,9.83,202,5.656249874696426,-6.012968544142746,745,5.285907055562954,-6.657135174867105,2146.4667592962146,0.16383333333333333,45935.08952210659
48,TucanaIII,359.1500000000001,-59.6,25234.807724805763,6.0,77,2.8031393104288633,-4.91808170077375,257,5.702418988365485,-5.619542962886946,1909.859317102744,0.1,76999.99999999999
49,TucanaIV,0.73,-60.85,48083.9348449729,9.1,158,7.574091276451185,-4.600889291326199,530,7.845915214786512,-5.0341998525983085,1715.8982392518315,0.15166666666666667,45288.36698864473
50,TucanaV,354.35,-63.27,55207.74392807573,1.0,0,,,3,-0.42065161321720296,-4.0170578731518125,1145.9155902616465,0.016666666666666666,0.0
51,UrsaMajor(I),158.72,51.92,96827.78562612488,11.3,153,-3.6906203609701564,-7.939731667647912,537,-3.396427439679763,-7.831058317200112,1148.6975922428594,0.18833333333333335,22903.921762953276
52,UrsaMajorII,132.875,63.13,31622.776601683792,16.0,311,-0.07708759538954767,-6.630020570017561,1253,-0.8518720058391633,-7.039172057779693,1405.5370911803006,0.26666666666666666,16400.390625
53,UrsaMinor,227.2854166666667,67.2225,75857.75750291836,8.2,320,-0.9597666157395665,-0.6293793444645253,912,-1.401137768037436,-0.538321481883804,3362.988446534279,0.13666666666666666,125360.9204741661
54,VirgoI,180.04,-0.68,87000.0,1.5,5,3.270839239677119,-5.174028705396621,21,-2.52766668828925,-3.448312616159009,2716.24436210168,0.025,319999.99999999994
55,Willman1,162.3375,51.05,38018.939632056135,2.3,11,-2.340390379039971,-3.070399402302594,30,-4.219842923738591,-4.923870265180325,1371.9216266522549,0.03833333333333333,195282.32103230053
